Time,real,imaginary
0.000000,139.045637,0.000000
0.062832,114.363736,0.000000
0.125664,94.435183,0.000000
0.188496,78.287757,0.000000
0.251327,65.158097,0.000000
0.314159,54.444933,0.000000
0.376991,45.673160,0.000000
0.439823,38.466191,0.000000
0.502655,32.524590,0.000000
0.565487,27.609530,0.000000
0.628319,23.529934,0.000000
0.691150,20.132464,0.000000
0.753982,17.293691,0.000000
0.816814,14.913960,0.000000
0.879646,12.912573,0.000000
0.942478,11.223986,0.000000
1.005310,9.794809,0.000000
1.068142,8.581424,0.000000
1.130973,7.548093,0.000000
1.193805,6.665453,0.000000
1.256637,5.909308,0.000000
1.319469,5.259666,0.000000
1.382301,4.699960,0.000000
1.445133,4.216428,0.000000
1.507964,3.797605,0.000000
1.570796,3.433913,0.000000
1.633628,3.117335,0.000000
1.696460,2.841136,0.000000
1.759292,2.599652,0.000000
1.822124,2.388102,0.000000
1.884956,2.202446,0.000000
1.947787,2.039257,0.000000
2.010619,1.895628,0.000000
2.073451,1.769086,0.000000
2.136283,1.657522,0.000000
2.199115,1.559137,0.000000
2.261947,1.472392,0.000000
2.324779,1.395974,0.000000
2.387610,1.328758,0.000000
2.450442,1.269781,0.000000
2.513274,1.218222,0.000000
2.576106,1.173379,0.000000
2.638938,1.134658,0.000000
2.701770,1.101554,0.000000
2.764602,1.073647,0.000000
2.827433,1.050586,0.000000
2.890265,1.032087,0.000000
2.953097,1.017924,0.000000
3.015929,1.007927,0.000000
3.078761,1.001976,0.000000
3.141593,1.000000,0.000000
3.204425,1.001976,0.000000
3.267256,1.007927,0.000000
3.330088,1.017924,0.000000
3.392920,1.032087,0.000000
3.455752,1.050586,0.000000
3.518584,1.073647,0.000000
3.581416,1.101554,0.000000
3.644247,1.134658,0.000000
3.707079,1.173379,0.000000
3.769911,1.218222,0.000000
3.832743,1.269781,0.000000
3.895575,1.328758,0.000000
3.958407,1.395974,0.000000
4.021239,1.472392,0.000000
4.084070,1.559137,0.000000
4.146902,1.657522,0.000000
4.209734,1.769086,0.000000
4.272566,1.895628,0.000000
4.335398,2.039257,0.000000
4.398230,2.202446,0.000000
4.461062,2.388102,0.000000
4.523893,2.599652,0.000000
4.586725,2.841136,0.000000
4.649557,3.117335,0.000000
4.712389,3.433913,0.000000
4.775221,3.797605,0.000000
4.838053,4.216428,0.000000
4.900885,4.699960,0.000000
4.963716,5.259666,0.000000
5.026548,5.909308,0.000000
5.089380,6.665453,0.000000
5.152212,7.548093,0.000000
5.215044,8.581424,0.000000
5.277876,9.794809,0.000000
5.340708,11.223986,0.000000
5.403539,12.912573,0.000000
5.466371,14.913960,0.000000
5.529203,17.293691,0.000000
5.592035,20.132464,0.000000
5.654867,23.529934,0.000000
5.717699,27.609530,0.000000
5.780530,32.524590,0.000000
5.843362,38.466191,0.000000
5.906194,45.673160,0.000000
5.969026,54.444933,0.000000
6.031858,65.158097,0.000000
6.094690,78.287757,0.000000
6.157522,94.435183,0.000000
6.220353,114.363736,0.000000
